observation_date,A34SNO_20230801
2010-01-01,22392
2010-02-01,21631
2010-03-01,22797
2010-04-01,22672
2010-05-01,22218
2010-06-01,21992
2010-07-01,22231
2010-08-01,22976
2010-09-01,23547
2010-10-01,21199
2010-11-01,23319
2010-12-01,23852
2011-01-01,23892
2011-02-01,23634
2011-03-01,22813
2011-04-01,23190
2011-05-01,23217
2011-06-01,23336
2011-07-01,22682
2011-08-01,23767
2011-09-01,23688
2011-10-01,23904
2011-11-01,23401
2011-12-01,23424
2012-01-01,23053
2012-02-01,24010
2012-03-01,22822
2012-04-01,23168
2012-05-01,23470
2012-06-01,21319
2012-07-01,21562
2012-08-01,20903
2012-09-01,20900
2012-10-01,21206
2012-11-01,21183
2012-12-01,21967
2013-01-01,21177
2013-02-01,20332
2013-03-01,19482
2013-04-01,21462
2013-05-01,21858
2013-06-01,21517
2013-07-01,21085
2013-08-01,20014
2013-09-01,20859
2013-10-01,21506
2013-11-01,21730
2013-12-01,20195
2014-01-01,21628
2014-02-01,21241
2014-03-01,21460
2014-04-01,21645
2014-05-01,20880
2014-06-01,21818
2014-07-01,21196
2014-08-01,21539
2014-09-01,21272
2014-10-01,20687
2014-11-01,19779
2014-12-01,19976
2015-01-01,19670
2015-02-01,19439
2015-03-01,21173
2015-04-01,20561
2015-05-01,20142
2015-06-01,20822
2015-07-01,20789
2015-08-01,20505
2015-09-01,20414
2015-10-01,20253
2015-11-01,20042
2015-12-01,20494
2016-01-01,20929
2016-02-01,21343
2016-03-01,21036
2016-04-01,21744
2016-05-01,21608
2016-06-01,21538
2016-07-01,21499
2016-08-01,21476
2016-09-01,21150
2016-10-01,20904
2016-11-01,20834
2016-12-01,21387
2017-01-01,21198
2017-02-01,21693
2017-03-01,21036
2017-04-01,21286
2017-05-01,21337
2017-06-01,21001
2017-07-01,21759
2017-08-01,21745
2017-09-01,22570
2017-10-01,22176
2017-11-01,22730
2017-12-01,21952
2018-01-01,21735
2018-02-01,21926
2018-03-01,21619
2018-04-01,22095
2018-05-01,22434
2018-06-01,22514
2018-07-01,22520
2018-08-01,22405
2018-09-01,22075
2018-10-01,22841
2018-11-01,22873
2018-12-01,22712
2019-01-01,22517
2019-02-01,22550
2019-03-01,22780
2019-04-01,23148
2019-05-01,22946
2019-06-01,22712
2019-07-01,22519
2019-08-01,22217
2019-09-01,22181
2019-10-01,21823
2019-11-01,21634
2019-12-01,21726
2020-01-01,21895
2020-02-01,21919
2020-03-01,21591
2020-04-01,21523
2020-05-01,21465
2020-06-01,21614
2020-07-01,21770
2020-08-01,21944
2020-09-01,22099
2020-10-01,22924
2020-11-01,22745
2020-12-01,22841
2021-01-01,21839
2021-02-01,21908
2021-03-01,21913
2021-04-01,22078
2021-05-01,21991
2021-06-01,22129
2021-07-01,21889
2021-08-01,22494
2021-09-01,22389
2021-10-01,22315
2021-11-01,23298
2021-12-01,23224
2022-01-01,23532
2022-02-01,23329
2022-03-01,23577
2022-04-01,23647
2022-05-01,23656
2022-06-01,23866
2022-07-01,24080
2022-08-01,24151
2022-09-01,24036
2022-10-01,23848
2022-11-01,23922
2022-12-01,23886
2023-01-01,23850
2023-02-01,23976
2023-03-01,24409
2023-04-01,23970
2023-05-01,24124
2023-06-01,24475
