snapshot_date,mpn,source,status,http_status,match_type,matched_mpn,lead_time_weeks,detail,collected_at
2026-08-15,ESP8266EX,digikey,ok,200.0,exact,ESP8266EX,6.0,,2026-08-15T20:21:43+00:00
2026-08-15,113991114,digikey,ok,200.0,exact,113991114,4.0,,2026-08-15T20:21:47+00:00
2026-08-15,113991115,digikey,ok,200.0,exact,113991115,4.0,,2026-08-15T20:21:48+00:00
2026-08-15,DFR1063,digikey,ok,200.0,exact,DFR1063,7.0,,2026-08-15T20:21:50+00:00
2026-08-15,DFR1117,digikey,ok,200.0,exact,DFR1117,9.0,,2026-08-15T20:22:04+00:00
2026-08-15,MIKROE-2542,digikey,ok,200.0,exact,MIKROE-2542,4.0,,2026-08-15T20:22:08+00:00
2026-08-15,DFR1075,digikey,ok,200.0,exact,DFR1075,9.0,,2026-08-15T20:22:09+00:00
2026-08-15,GPY,digikey,ok,200.0,exact,GPY,14.0,,2026-08-15T20:22:10+00:00
2026-08-15,DFR0654,digikey,ok,200.0,exact,DFR0654,9.0,,2026-08-15T20:22:11+00:00
2026-08-15,DFR0868,digikey,ok,200.0,exact,DFR0868,9.0,,2026-08-15T20:22:13+00:00
2026-08-15,SIPY RCZ1 & RCZ3,digikey,ok,200.0,exact,SIPY RCZ1 & RCZ3,14.0,,2026-08-15T20:22:14+00:00
2026-08-15,DFR0654-F,digikey,ok,200.0,exact,DFR0654-F,9.0,,2026-08-15T20:22:15+00:00
2026-08-15,LOPY4,digikey,ok,200.0,exact,LOPY4,14.0,,2026-08-15T20:22:16+00:00
2026-08-15,FIPY,digikey,ok,200.0,exact,FIPY,14.0,,2026-08-15T20:22:18+00:00
2026-08-15,SIPY RCZ2 & RCZ4,digikey,ok,200.0,exact,SIPY RCZ2 & RCZ4,14.0,,2026-08-15T20:22:19+00:00
2026-08-15,211201004,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:22:21+00:00
2026-08-15,WIPY 3.0,digikey,ok,200.0,exact,WIPY 3.0,14.0,,2026-08-15T20:22:22+00:00
2026-08-15,211201005,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:22:23+00:00
