snapshot_date,mpn,manufacturer,category,source,lead_time_weeks,lifecycle_status,stock,unit_price,match_type,matched_mpn,dk_part_number,products_count,exact_match_count,collected_at,dk_manufacturer,dk_manufacturer_id,dk_category,dk_subcategory,dk_category_id,series,base_product,description,product_status_id,normally_stocking,discontinued,end_of_life,ncnr,back_order_not_allowed,date_last_buy_chance,quantity_available,manufacturer_public_quantity,lead_time_weeks_raw,moq,standard_package,packaging,variation_count,tariff_active,marketplace,qty_available_for_package,max_qty_for_distribution,digireel_fee,dk_unit_price,price_break_count,min_break_qty,unit_price_min_break,max_break_qty,unit_price_max_break,rohs_status,reach_status,moisture_sensitivity_level,export_control_class,htsus_code,package_case,mounting_type,parameter_count
2026-07-01,ESP8266EX,Espressif Systems,"RF Receivers, Transceivers",digikey,8,Not For New Designs,125,3.20002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,113991114,Seeed Studio,Uncategorized,digikey,4,Active,3602,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,113991115,Seeed Studio,Uncategorized,digikey,4,Active,2591,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,DFR1063,DFRobot,DSPs - Digital Signal Processors,digikey,7,Active,45,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,DFR1117,DFRobot,Uncategorized,digikey,9,Active,1645,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,MIKROE-2542,mikroElektronika,Uncategorized,digikey,4,Active,15,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,DFR1075,DFRobot,Uncategorized,digikey,9,Active,486,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,GPY,Pycom,NFC / RFID Components,digikey,28,Active,1004,11.30745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,DFR0654,DFRobot,NFC / RFID Components,digikey,9,Active,372,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,DFR0868,DFRobot,Uncategorized,digikey,9,Active,211,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,SIPY RCZ1 & RCZ3,Pycom,NFC / RFID Components,digikey,14,Discontinued at DigiKey,0,31.8024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
